gene_id,MUI_Innsbruck.P11_blood_Neutrophil,MUI_Innsbruck.P12_blood_Neutrophil,MUI_Innsbruck.P12_tumor_Neutrophil,MUI_Innsbruck.P13_blood_Neutrophil,MUI_Innsbruck.P13_tumor_Neutrophil,MUI_Innsbruck.P14_blood_Neutrophil,MUI_Innsbruck.P14_tumor_Neutrophil,MUI_Innsbruck.P15_blood_Neutrophil,MUI_Innsbruck.P15_tumor_Neutrophil,MUI_Innsbruck.P16_blood_Neutrophil,MUI_Innsbruck.P16_tumor_Neutrophil,MUI_Innsbruck.P3_blood_Neutrophil,MUI_Innsbruck.P3_tumor_Neutrophil,MUI_Innsbruck.P4_blood_Neutrophil,MUI_Innsbruck.P4_tumor_Neutrophil,MUI_Innsbruck.P5_blood_Neutrophil,MUI_Innsbruck.P5_tumor_Neutrophil,MUI_Innsbruck.P7_blood_Neutrophil,MUI_Innsbruck.P7_tumor_Neutrophil,MUI_Innsbruck.P8_blood_Neutrophil,MUI_Innsbruck.P8_tumor_Neutrophil,MUI_Innsbruck.P9_blood_Neutrophil,MUI_Innsbruck.P9_tumor_Neutrophil
EEF1A1,389.0,1128.0,145.0,1134.0,98.0,662.0,487.0,995.0,1679.0,1871.0,418.0,1388.0,1385.0,899.0,145.0,1305.0,3065.0,1068.0,281.0,1070.0,193.0,605.0,992.0
EEF1D,112.0,405.0,42.0,483.0,20.0,362.0,154.0,446.0,371.0,891.0,126.0,329.0,348.0,521.0,39.0,615.0,1045.0,326.0,59.0,492.0,38.0,267.0,265.0
EFHD2,461.0,2188.0,78.0,2783.0,138.0,1907.0,327.0,2058.0,998.0,4881.0,364.0,1841.0,531.0,2456.0,129.0,3084.0,1567.0,1853.0,222.0,2653.0,69.0,1510.0,557.0
EGR1,349.0,269.0,524.0,928.0,430.0,890.0,1891.0,960.0,5500.0,1774.0,3407.0,517.0,4403.0,651.0,459.0,2357.0,18763.0,1654.0,1501.0,1138.0,707.0,362.0,5526.0
EGR3,115.0,47.0,54.0,75.0,37.0,60.0,230.0,487.0,546.0,101.0,240.0,53.0,274.0,46.0,106.0,511.0,1500.0,96.0,220.0,54.0,81.0,21.0,266.0
EHD1,130.0,765.0,164.0,354.0,211.0,314.0,869.0,501.0,861.0,559.0,732.0,327.0,1471.0,331.0,123.0,1512.0,3854.0,207.0,291.0,297.0,215.0,199.0,1579.0
EIF1,583.0,3490.0,220.0,4548.0,273.0,3757.0,1174.0,4633.0,3329.0,8256.0,1057.0,3722.0,1959.0,3368.0,419.0,8327.0,6271.0,3001.0,577.0,3849.0,333.0,1839.0,1739.0
EIF1AY,57.0,169.0,13.0,495.0,22.0,0.0,0.0,366.0,125.0,914.0,75.0,175.0,95.0,314.0,19.0,701.0,539.0,367.0,42.0,470.0,23.0,63.0,13.0
EIF2AK2,111.0,331.0,33.0,418.0,44.0,799.0,117.0,534.0,222.0,1022.0,79.0,314.0,198.0,1868.0,67.0,725.0,499.0,469.0,51.0,430.0,26.0,339.0,242.0
EIF2S3,45.0,245.0,44.0,326.0,34.0,237.0,128.0,164.0,310.0,466.0,116.0,284.0,228.0,298.0,59.0,336.0,688.0,238.0,71.0,321.0,40.0,185.0,237.0
EIF4A2,66.0,238.0,53.0,384.0,37.0,214.0,200.0,251.0,427.0,571.0,116.0,325.0,425.0,310.0,70.0,671.0,1092.0,266.0,76.0,343.0,58.0,190.0,371.0
EIF4A3,55.0,252.0,96.0,307.0,141.0,215.0,416.0,319.0,1134.0,601.0,503.0,411.0,1070.0,272.0,132.0,609.0,5105.0,256.0,100.0,339.0,201.0,163.0,921.0
EIF4E3,43.0,423.0,33.0,317.0,17.0,392.0,45.0,245.0,180.0,888.0,59.0,387.0,169.0,757.0,27.0,559.0,398.0,398.0,54.0,462.0,27.0,175.0,78.0
EIF4EBP2,95.0,322.0,37.0,470.0,22.0,360.0,70.0,410.0,157.0,832.0,69.0,455.0,241.0,323.0,25.0,593.0,570.0,518.0,53.0,475.0,28.0,261.0,166.0
EIF4G2,206.0,1032.0,62.0,1058.0,69.0,815.0,140.0,881.0,476.0,2083.0,172.0,906.0,442.0,1227.0,67.0,1388.0,1192.0,948.0,136.0,880.0,59.0,470.0,276.0
EIF4G3,212.0,626.0,80.0,613.0,62.0,543.0,286.0,617.0,599.0,936.0,206.0,896.0,673.0,1010.0,74.0,1023.0,1498.0,619.0,186.0,600.0,65.0,386.0,480.0
EIF4H,77.0,398.0,18.0,587.0,31.0,441.0,75.0,419.0,171.0,850.0,61.0,330.0,101.0,554.0,32.0,683.0,330.0,411.0,45.0,552.0,31.0,339.0,150.0
EIF5,271.0,1012.0,38.0,978.0,44.0,663.0,210.0,929.0,652.0,1858.0,117.0,1044.0,420.0,824.0,99.0,1580.0,1239.0,717.0,66.0,907.0,57.0,438.0,400.0
ELAPOR1,77.0,133.0,9.0,277.0,18.0,164.0,22.0,309.0,157.0,939.0,82.0,321.0,130.0,530.0,28.0,253.0,251.0,304.0,49.0,530.0,20.0,270.0,74.0
ELF1,545.0,960.0,179.0,1304.0,141.0,1526.0,499.0,2267.0,1238.0,3055.0,315.0,1282.0,770.0,2429.0,221.0,1809.0,2552.0,1215.0,235.0,1465.0,162.0,776.0,713.0
ELF2,402.0,1396.0,257.0,1591.0,165.0,1682.0,429.0,1591.0,1174.0,3183.0,385.0,1372.0,905.0,1653.0,160.0,2530.0,2625.0,1115.0,293.0,1455.0,149.0,954.0,624.0
ELF4,86.0,295.0,22.0,442.0,42.0,304.0,77.0,355.0,212.0,618.0,102.0,363.0,128.0,401.0,33.0,567.0,423.0,305.0,47.0,370.0,23.0,172.0,146.0
