"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cxadr",7.93090620039008e-05,-1.02986115827347,0.014,0.027,1
"Washc2",7.97571684124037e-05,-0.117843548940333,0.388,0.401,1
"Braf",8.01928920727238e-05,-0.201071275326344,0.28,0.311,1
"Trim30d",8.156370967909e-05,-0.12498942983965,0.503,0.527,1
"Slc9a3r1",8.33912611795286e-05,0.245629175433468,0.207,0.172,1
"Zfand5",8.40333547329562e-05,-0.111694797033172,0.522,0.542,1
"Fam104a",8.41293531105763e-05,-0.181155510559409,0.229,0.245,1
"Zfand3",8.5628357172084e-05,0.105302629684332,0.328,0.294,1
"Il18",8.60430129588797e-05,-1.10917896760698,0.011,0.022,1
"Hsp90ab1",8.65336887250623e-05,0.276072383028862,0.182,0.148,1
"Trp53inp1",8.67104955887752e-05,0.135712657957475,0.374,0.334,1
"Asap1",8.78536515179374e-05,-0.215381695289546,0.279,0.311,1
"Ccdc80",8.8192657837026e-05,0.45742923540385,0.082,0.059,1
"Cd9",9.11528690567868e-05,-0.143343916875693,0.391,0.417,1
"Acin1",9.15435815795131e-05,0.172360865702442,0.298,0.259,1
"Pnisr",9.17724196860966e-05,-0.202408415432544,0.269,0.295,1
"Slc20a1",9.34656838461653e-05,0.404330391036697,0.073,0.052,1
"Cbx7",9.52624641339663e-05,-0.922018342281691,0.016,0.029,1
"Atp6ap2",0.000100324888650412,0.223691981866105,0.226,0.19,1
"1700037H04Rik",0.000101412531301821,-0.568780211019573,0.032,0.049,1
"Parp9",0.00010460669478574,-0.210517145938907,0.154,0.166,1
"Tpm4",0.000106007884376376,-0.113087211150577,0.403,0.419,1
"Prkar2b",0.000106402223360318,-0.2832346809308,0.126,0.142,1
"Sub1",0.000109711722242529,0.180501965699409,0.319,0.277,1
"Ehbp1l1",0.000111877294115485,0.24589470535988,0.199,0.164,1
"Ccnd2",0.000117183970513975,-0.395862618795645,0.095,0.12,1
"Atxn10",0.000118282663972078,0.173716407534106,0.398,0.354,1
"Arsk",0.000121879440516088,0.950826862261076,0.023,0.011,1
"Adam9",0.000123767016854242,0.544699831012439,0.046,0.029,1
"Tmem134",0.000124763957859906,-0.278907136244938,0.18,0.208,1
"Tmem179b",0.000125881956671781,-0.32739636892724,0.133,0.158,1
"Macf1",0.000126339288499472,0.300849913828702,0.185,0.152,1
"4930519G04Rik",0.000128748990834523,-0.832366999016263,0.018,0.026,1
"Glud1",0.000128797584844267,0.231921454712691,0.248,0.21,1
"Clic4",0.00012948359513751,0.971506166974212,0.03,0.017,1
"Tsen34",0.000130724593816346,-0.451294662843238,0.075,0.1,1
"Acss2",0.000131299110951209,-0.628035796341227,0.038,0.055,1
"Stx17",0.000131377506190566,0.330069086820692,0.123,0.095,1
"Gm48840",0.000131480430977879,-1.0744605818281,0.007,0.016,1
