"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Prkab1",8.75644757758858e-68,-1.4045100274671,0.321,0.388,3.01169257983582e-63
"Gm15218",9.55808936961418e-68,-0.277202393130882,0.534,0.347,3.2874092577851e-63
"Psmc2",1.01078315546023e-67,0.911959125005335,0.511,0.152,3.47648758488991e-63
"Mtmr3",1.01701093258763e-67,-0.123040796447054,0.855,0.622,3.49790740154188e-63
"9830107B12Rik",1.07757419504229e-67,-1.03999090516018,0.427,0.414,3.70620868642844e-63
"Tcf20",1.10677821671943e-67,0.144734557046221,0.607,0.324,3.80665299858482e-63
"Calm3",1.22451667826272e-67,0.408486587488256,0.84,0.443,4.21160266321679e-63
"Eif5",1.24252376518319e-67,-0.243984861075575,0.889,0.678,4.27353623797106e-63
"Yeats4",1.35401544632377e-67,0.426360066003352,0.786,0.404,4.65700072608596e-63
"Mpp6",1.35425122773859e-67,3.43189775646515,0.321,0.013,4.65781167268409e-63
"Satb1",1.40399452042704e-67,-0.775216613852259,0.443,0.372,4.82889875355676e-63
"Vegfa",1.42130070830138e-67,1.4155940961819,0.485,0.108,4.88842165613177e-63
"Prkacb",1.43428735916061e-67,0.54077197427954,0.515,0.203,4.93308794309702e-63
"Rpl23",1.50678352703597e-67,0.854433047068344,0.889,0.398,5.1824312628875e-63
"Snx27",1.5156347284053e-67,-0.252051970304731,0.523,0.332,5.21287408487718e-63
"Casp8",1.5172000240958e-67,0.850438916118222,0.492,0.155,5.21825776287508e-63
"Xbp1",1.53560028777913e-67,0.528012758415029,0.798,0.389,5.28154362978752e-63
"Dyrk1a",1.58584106278011e-67,0.6755130867171,0.569,0.215,5.4543417513259e-63
"Prdx1",1.60589555950822e-67,10.0453102202715,0.271,0,5.52331718737256e-63
"H3c3",1.60589555950831e-67,10.1793163250377,0.271,0,5.52331718737287e-63
"Cr1l",1.63594027504281e-67,-0.732819381318483,0.469,0.399,5.62665298198224e-63
"Ctsd",1.70268087587422e-67,-1.67308823596622,0.309,0.41,5.8562006044818e-63
"Dr1",1.81164679303688e-67,0.302029743412722,0.401,0.153,6.23097797997103e-63
"G3bp2",1.87543903101354e-67,-0.365146748955546,0.489,0.324,6.45038500326796e-63
"Arid4b",1.92358269902148e-67,-0.738286489134014,0.481,0.392,6.61597033501446e-63
"Reps1",1.93206320304727e-67,0.989240425610982,0.515,0.15,6.6451381805608e-63
"Tmed10",1.93675284211659e-67,0.221860086984673,0.889,0.542,6.66126772517582e-63
"Rp2",1.94502100986847e-67,-0.179810871967666,0.618,0.412,6.68970526134163e-63
"Rplp2",1.95361641219924e-67,1.24711944252299,0.802,0.277,6.71926828811807e-63
"Ak2",1.98853650106611e-67,0.223009178985662,0.92,0.57,6.83937244176678e-63
